Zipcode,Median Age,Household Income,Per Capita Income,Employment rate,Has Starbucks
2725,50.3,67396,27714,0.541405962,N
2726,43.6,74141,32263,0.517843339,N
2738,48.4,80456,45269,0.522685656,N
2739,44.8,78864,35941,0.486362143,N
2740,37.4,34259,20649,0.478456636,N
2743,42.7,66276,31463,0.571262475,N
2744,36.6,31216,18190,0.470568162,N
2745,39.7,47536,26093,0.548046718,N
2746,32,25623,15948,0.45190428,N
2747,36.8,71073,25441,0.537343835,N
2748,47.7,64077,37929,0.504566754,N
2760,38.2,78087,34793,0.576935859,N
2762,40.2,77109,39346,0.63222209,N
2763,40.7,125769,39837,0.648351648,N
2764,43.2,79615,37724,0.560366786,N
2766,39.5,81069,32414,0.559112916,N
2767,40.9,80761,34853,0.54133829,N
2769,43.3,82500,36959,0.609053498,N
2770,44.5,88636,37301,0.574407583,N
2771,43.6,70966,34580,0.566178582,N
2777,45.3,71179,33070,0.599824374,N
2779,40.1,90741,33189,0.577960322,N
2780,40.7,49732,26055,0.547313381,N
2790,46.2,78750,35011,0.55311378,N
2791,65.2,71042,58534,0.425,N
2802,37.2,48456,42134,0.625680087,N
2804,47.1,71772,33192,0.646308465,N
2806,44.8,103696,54414,0.517548165,N
2807,54.8,90491,52486,0.655502392,N
2808,36,73382,30863,0.648501362,N
2809,42.3,62358,31526,0.55092983,N
2812,36.9,110233,35637,0.544438801,N
2813,44.9,69349,34602,0.526403273,N
2814,44.5,82127,32640,0.600775712,N
2815,40.2,125000,47267,0.855,N
2816,43,64581,29936,0.566585366,N
2817,41.3,78438,36160,0.561455261,N
2818,45.3,85429,54361,0.522997643,N
2822,44.2,82189,36185,0.592105263,N
2825,47.4,81923,36152,0.625070688,N
2826,48.3,33203,20529,0.445839874,N
2827,47.7,93750,35893,0.562651185,N
2828,48.2,75408,38147,0.534377955,N
2830,43.7,66658,34376,0.609660164,N
2831,44.5,82207,33365,0.579418345,N
2832,43.9,57318,29245,0.55367661,N
