,0,1,Zipcode,Another_Store_Present
2464,0.635,0.365,8854,0
1889,0.635,0.365,6853,0
16361,0.635,0.365,57342,0
541,0.635,0.365,2466,0
16877,0.635,0.365,58750,0
5717,0.635,0.365,21649,0
13928,0.635,0.365,50068,0
1483,0.64,0.36,5445,0
1945,0.64,0.36,7046,0
23527,0.64,0.36,80727,0
26413,0.64,0.36,99516,0
462,0.64,0.36,2124,0
26293,0.64,0.36,98950,0
20318,0.64,0.36,68955,0
24602,0.64,0.36,87122,0
1559,0.64,0.36,5742,0
23437,0.64,0.36,80133,0
21039,0.64,0.36,72055,0
6045,0.64,0.36,23120,0
22652,0.645,0.355,77355,0
13967,0.645,0.355,50136,0
17522,0.645,0.355,61103,0
13979,0.645,0.355,50150,0
2252,0.645,0.355,8056,0
15032,0.645,0.355,54017,0
1747,0.645,0.355,6360,0
21560,0.645,0.355,73533,0
16084,0.645,0.355,56540,0
2320,0.645,0.355,8247,0
6011,0.645,0.355,23039,0
23459,0.645,0.355,80444,0
2030,0.645,0.355,7439,0
7503,0.65,0.35,28210,0
200,0.65,0.35,1224,0
21133,0.65,0.35,72341,0
8017,0.65,0.35,29625,0
26532,0.65,0.35,99714,0
24322,0.65,0.35,84774,0
2425,0.65,0.35,8755,0
24364,0.65,0.35,85307,0
2790,0.65,0.35,12043,0
5370,0.65,0.35,19335,0
22325,0.65,0.35,76050,0
16378,0.65,0.35,57366,0
18558,0.65,0.35,63601,0
12421,0.65,0.35,46031,0
2408,0.65,0.35,8723,0
26551,0.65,0.35,99744,0
24303,0.65,0.35,84751,0
10439,0.65,0.35,38759,0
738,0.655,0.345,3053,0
1444,0.655,0.345,5201,0
8050,0.655,0.345,29685,0
18173,0.655,0.345,62610,0
8500,0.655,0.345,31220,0
7495,0.655,0.345,28164,0
13593,0.655,0.345,49332,0
9000,0.655,0.345,33455,0
821,0.655,0.345,3304,0
13185,0.655,0.345,48335,0
9951,0.655,0.345,37306,0
8021,0.655,0.345,29630,0
435,0.655,0.345,2050,0
21754,0.655,0.345,74073,0
17500,0.655,0.345,61063,0
2061,0.655,0.345,7603,0
7448,0.655,0.345,28032,0
23646,0.655,0.345,81124,0
3006,0.655,0.345,12545,0
8501,0.655,0.345,31301,0
6112,0.655,0.345,23420,0
2088,0.655,0.345,7656,0
397,0.66,0.34,1905,0
454,0.66,0.34,2114,0
844,0.66,0.34,3465,0
22845,0.66,0.34,78012,0
16609,0.66,0.34,58063,0
24752,0.66,0.34,88032,0
2538,0.66,0.34,10536,0
19423,0.66,0.34,66549,0
2406,0.66,0.34,8721,0
8366,0.66,0.34,30677,0
5762,0.66,0.34,21756,0
2542,0.66,0.34,10548,0
14696,0.66,0.34,52630,0
17342,0.66,0.34,60449,0
26084,0.66,0.34,98247,0
9724,0.66,0.34,36529,0
16864,0.665,0.335,58727,0
26406,0.665,0.335,99357,0
5541,0.665,0.335,20662,0
2941,0.665,0.335,12453,0
4346,0.665,0.335,15962,0
19414,0.665,0.335,66539,0
5449,0.665,0.335,19734,0
10544,0.665,0.335,39071,0
9504,0.665,0.335,35763,0
25130,0.665,0.335,93249,0
19484,0.665,0.335,66779,0
10878,0.665,0.335,40347,0
20638,0.665,0.335,70734,0
1322,0.665,0.335,4901,0
7571,0.665,0.335,28420,0
22204,0.665,0.335,75672,0
17954,0.67,0.33,62214,0
14927,0.67,0.33,53571,0
2416,0.67,0.33,8736,0
18194,0.67,0.33,62640,0
22771,0.67,0.33,77657,0
20258,0.67,0.33,68850,0
14991,0.67,0.33,53931,0
299,0.67,0.33,1532,0
477,0.67,0.33,2141,0
12469,0.67,0.33,46146,0
19301,0.67,0.33,66035,0
4191,0.67,0.33,15660,0
2095,0.67,0.33,7670,0
12194,0.67,0.33,45350,0
